country,year,pop,areakm2 ,gdpnom,flights - WB,hotels,hotrooms,receipt,ovnarriv,dayvisit,arram,arreur,arraus
1,0,1187000,2040,.,12162,.,.,732000000,656000,22000,.,.,.
1,1,1189800,2040,4684000000,12269,95,9024,820000000,660000,15000,.,.,.
1,2,1200200,2040,4911000000,12720,95,9623,829000000,682000,27000,.,.,.
1,3,1210400,2040,5825000000,12969,97,9647,960000000,702000,20000,.,.,.
1,4,1220500,2040,6594000000,14791,103,10640,1156000000,719000,20000,.,.,.
1,5,1243000,2040,6489000000,14743,99,10497,1189000000,761000,20000,.,.,.
1,6,1240800,2040,6732000000,13692,98,10666,1302000000,788000,19000,.,.,.
1,7,1250900,2040,7792000000,12090,97,10857,1663000000,907000,26000,10000,596000,10969
1,8,1274200,2040,9641000000,11742,102,11488,1823000000,930000,40000,14000,609000,8974
1,9,1284300,2040,8824000000,11144,102,11456,1390000000,871000,19000,13000,580000,8106
1,10,1283400,2040,9706000000,11750,112,12075,1585000000,935000,21000,14000,606000,9255
1,11,1288700,2040,11244000000,12353,109,11925,1813000000,965000,18000,14000,610000,8822
1,12,1293500,2040,11466000000,12258,.,.,.,.,.,.,.,.
2,0,.,451,615000000,18966,.,.,225000000,130000,.,.,.,.
2,1,81000,451,622000000,20249,.,.,221000000,130000,.,.,.,.
2,2,84000,451,698000000,22449,.,.,247000000,132000,.,.,.,.
2,3,83000,451,706000000,18647,.,.,258000000,122000,.,.,.,.
2,4,83000,451,857000000,19281,.,.,256000000,121000,.,.,.,.
2,5,83000,451,937000000,19581,.,.,269000000,129000,.,.,.,.
2,6,85000,451,1037000000,19526,.,.,323000000,141000,.,.,.,.
2,7,85000,451,1039000000,20727,103,2710,396000000,161000,10000,4,130,3316
2,8,87000,451,962000000,11896,107,2360,408000000,159000,14000,4,125,3070
2,9,87000,451,841000000,11238,115,2490,349000000,158000,20000,5,122,2852
2,10,90000,451,973000000,12989,124,2510,352000000,175000,16000,4,132,3446
2,11,87000,451,1060000000,14202,132,.,378000000,194000,.,5,144,3745
2,12,.,451,1031000000,11878,.,.,.,.,.,.,,.
3,0,777000,440,788000000,62070,,,291000000,207000,,,,
3,1,792000,440,778000000,72001,,,272000000,215000,,,,
3,2,805000,440,807000000,63361,,,274000000,218000,,,,
3,3,817000,440,849000000,67163,,,300000000,239000,,,,
3,4,828000,440,905000000,25700,,,337000000,246000,,,,
3,5,839000,440,1002000000,26985,,,309000000,245000,,,,
3,6,849000,440,1141000000,26175,,,327000000,254000,,,,
3,7,859000,440,1296000000,27746,4157,.,338000000,262000,673000,141000,115000,
3,8,869000,440,1355000000,28356,4673,.,334000000,266000,597000,152000,110000,
3,9,878000,440,1211000000,26371,.,.,305000000,234000,710000,138000,93000,
3,10,887000,440,1136000000,39865,.,.,298000000,230000,557000,137000,89000,
3,11,818000,440,1125000000,36534,.,.,312000000,241000,606000,145000,92000,
3,12,,440,1176000000,33606,.,.,.,.,.,,,
4,0,101500,344,523000000,.,,,93000000,129000,,,,
4,1,101700,344,523000000,.,,,83000000,123000,,,,
4,2,102000,344,544000000,.,,,91000000,132000,,,,
4,3,102200,344,596000000,.,,,104000000,142000,,,,
4,4,102500,344,602000000,.,,,86000000,134000,,,,
4,5,102700,344,701000000,.,,,71000000,99000,,,,
4,6,103000,344,705000000,.,,,94000000,119000,,,,
4,7,103400,344,764000000,.,70,1628,109000000,130000,275000,64000,42000,529
4,8,103700,344,832000000,.,74,1782,109000000,130000,298000,66000,45000,520
4,9,104100,344,776000000,.,80,1884,99000000,114000,346000,62000,36000,545
4,10,104500,344,770000000,.,115,2155,97000000,110000,335000,59000,35000,512
4,11,104900,344,780000000,.,81,1900,105000000,118000,312000,65000,36000,500
4,12,.,344,790000000,.,.,.,.,.,.,.,.,.
5,0,638200,765,7966000000,21303,,,854000000,3869000,,,,
5,1,642500,765,7969000000,20492,,,886000000,4388000,,,,
5,2,642100,765,8489000000,19752,,,985000000,4831000,,,,
5,3,647200,765,9745000000,28508,,,1206000000,4844000,,,,
5,4,671800,765,11233000000,32488,,,1504000000,5667000,,,,
5,5,724800,765,13457000000,.,,,1603000000,6313000,,,,
5,6,811400,765,15848000000,.,,,1786000000,7289000,,,,
5,7,925700,765,18468000000,.,100,.,1854000000,7833000,2898000,267000,507000,7053
5,8,1052000,765,22146000000,.,101,9217,1927000000,8631000,.,.,.,.
5,9,1170000,765,19287000000,69808,105,8367,1873000000,8861000,.,.,.,.
5,10,1262000,765,21488000000,62473,100,8679,2163000000,11952000,.,.,.,.
5,11,1324000,765,25866000000,60779,101,9010,1766000000,6732000,.,91000,513000,6196
5,12,.,765,27026000000,61904,.,.,,.,.,.,.,
6,0,267500,431,3098000000,.,,,733000000,545000,,,,
6,1,268200,431,3096000000,.,,,706000000,507000,,,,
6,2,268800,431,3115000000,.,,,666000000,498000,,,,
6,3,269400,431,3244000000,.,,,767000000,531000,,,,
6,4,269900,431,3492000000,.,,,784000000,552000,,,,
6,5,270500,431,3908000000,.,,,1081000000,548000,,,,
6,6,271000,431,4197000000,.,,,1235000000,563000,,,,
6,7,271600,431,4483000000,.,.,6300,1224000000,575000,616000,303000,251000,688
6,8,272200,431,4344000000,.,.,6984,1244000000,568000,597000,309000,250000,529
6,9,272800,431,4396000000,.,.,6917,1122000000,519000,635000,292000,219000,710
6,10,273300,431,4245000000,.,.,6659,1074000000,532000,665000,313000,211000,857
6,11,273900,431,4313000000,.,.,6775,.,568000,619000,337000,224000,916
6,12,.,431,4490000000,.,.,.,.,.,.,.,.,.
7,0,62100,53,3480000000,.,,,431000000,332000,,,,
7,1,62500,53,3680000000,.,,,351000000,278000,,,,
